학과,학수번호,분반,이수구분,교과목명,담당교수,학점,강의시간/강의실,영어강의,비고
뇌인지과학융합전공,BNCS301,00,전공필수,뇌및인지과학개론,장호진,3(3),금(1-2) 정운오IT교양관 B102,,
뇌인지과학융합전공,BNCS303,00,전공필수,뇌및의공학입문,박보용,3(3),금(3-4) 정운오IT교양관 610호,,
뇌인지과학융합전공,BNCS315,00,전공필수,뇌인지과학실습(영강),김동주,3(6),금(5-9) 과도관 614A호,Y,
데이터과학과,DATA202,00,전공선택,계산복잡도기초(영강),박성빈,3(3),금(5-6) 정보통신관 B101호,Y,
데이터과학과,DATA302,00,전공선택,기초컴퓨터비전이론및응용(영강),문경식,3(3),화(1) 정보통신관 205호 / 목(1) 정보통신관 205호,Y,
데이터과학과,DATA303,00,전공선택,고급기계학습(영강),박성우,3(3),화(6) 정보통신관 205호 / 목(6) 정보통신관 205호,Y,
데이터과학과,DATA304,00,전공선택,빅데이터분석(영강),강성구,3(3),월(6) 정운오IT교양관 B102 / 수(6) 정운오IT교양관 B102,Y,
데이터과학과,DATA401,00,전공선택,데이터시각화(영강),강형엽,3(3),금(5-6) 정운오IT교양관 B102,Y,
데이터과학과,DATA423,00,전공선택,기업현장실습I,,3(0),,,
데이터과학과,DATA424,00,전공선택,기업현장실습Ⅱ,,3(0),,,
데이터과학과,DATA425,00,전공선택,기업현장실습Ⅲ,,3(0),,,
데이터과학과,DATA426,00,전공선택,기업현장실습Ⅳ,,3(0),,,
소프트웨어벤처융합전공,STEP420,00,전공선택,현장실습Ⅴ,,3(0),월(2)  / 수(2) ,,
소프트웨어벤처융합전공,STEP421,00,전공선택,현장실습Ⅵ,,6(0),월(3) 아산이학관 231호 / 수(3) 아산이학관 231호,,
소프트웨어벤처융합전공,STEP422,00,전공선택,현장실습Ⅶ,,9(0),목(4-5) ,,
소프트웨어벤처융합전공,STEP423,00,전공선택,현장실습Ⅷ,,12(0),화(4) 아산이학관 633호 / 목(4) 아산이학관 633호,,
인공지능융합전공,AICE301,00,전공선택,인공지능과윤리,김현철,3(3),월(6) 애기능생활관 302호 / 수(6) 애기능생활관 302호,,
인공지능학과,CSAI202,01,전공선택,기초딥러닝(영강),장부루,3(3),금(3-4) 정보통신관 205호,Y,[인공지능학과 소속학생만 수강가능]
인공지능학과,CSAI202,02,전공선택,기초딥러닝,정우환,3(3),화(6) 애기능생활관 301호 / 목(6) 애기능생활관 301호,,[인공지능학과 소속학생만 수강가능]
정보보호 융합전공,ISEC303,00,전공선택,역공학기법,허지민,3(3),목(4-5) 생명과학관(서관) 401호,,
컴퓨터학과,COSE211,01,전공선택,이산수학(영강),박성빈,3(3),화(6) 정보통신관 B101호 / 목(6) 정보통신관 B101호,Y,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE211,02,전공선택,이산수학(영강),박성빈,3(3),월(5) 정보통신관 B101호 / 수(5) 정보통신관 B101호,Y,
컴퓨터학과,COSE211,03,전공선택,이산수학,박중석,3(3),금(4-5) 정보통신관 604호,,
